Image Name,Mode,Channel,x_bar,y_bar,VAR(X), VAR(Y),"COV(X,Y)","Correlation(X,Y)"
05_Sailboat.bmp,DD,GChannel,124.59,124.53,6011.74,6011.5,5717.36,0.951051
05_Sailboat.bmp,DD,BChannel,114.91,115.1,5915.27,5891.61,5615.23,0.951182
05_Sailboat_en.bmp,HD,RChannel,127.43,127.43,5469.32,5469.03,-3.3,-0.000604
05_Sailboat_en.bmp,HD,GChannel,127.55,127.56,5458.82,5459.39,3.81,0.000698
05_Sailboat_en.bmp,HD,BChannel,127.79,127.79,5462.66,5462.71,-1.18,-0.000216
05_Sailboat_en.bmp,VD,RChannel,127.44,127.41,5469.83,5468.98,6.67,0.001219
05_Sailboat_en.bmp,VD,GChannel,127.56,127.56,5459.48,5459.4,7.02,0.001285
05_Sailboat_en.bmp,VD,BChannel,127.79,127.79,5462.01,5462.72,11.26,0.002061
05_Sailboat_en.bmp,DD,RChannel,127.44,127.41,5469.77,5468.62,-2.84,-0.000519
05_Sailboat_en.bmp,DD,GChannel,127.56,127.57,5458.64,5459.1,-1.72,-0.000314
05_Sailboat_en.bmp,DD,BChannel,127.79,127.79,5462.42,5463.2,0.42,7.6e-05
06_Splash.bmp,HD,RChannel,176.47,176.48,3558.9,3557.91,3535.61,0.993595
06_Splash.bmp,HD,GChannel,70.48,70.63,3646.62,3637.14,3573.33,0.981176
06_Splash.bmp,HD,BChannel,79.95,79.95,2184.39,2184.16,2146.24,0.982587
06_Splash.bmp,VD,RChannel,176.45,176.39,3561.87,3571.35,3549.29,0.995143
06_Splash.bmp,VD,GChannel,70.57,70.43,3642.93,3625.62,3587.53,0.98714
06_Splash.bmp,VD,BChannel,79.97,79.7,2183.34,2156.07,2123.96,0.978934
06_Splash.bmp,DD,RChannel,176.65,176.6,3547.95,3556.43,3513.78,0.989187
06_Splash.bmp,DD,GChannel,70.56,70.57,3649.75,3622.99,3531.96,0.971294
06_Splash.bmp,DD,BChannel,79.98,79.72,2187.28,2159.75,2099.16,0.965808
06_Splash_en.bmp,HD,RChannel,127.65,127.64,5462.75,5462.79,11.7,0.002142
06_Splash_en.bmp,HD,GChannel,127.49,127.49,5460.35,5460.98,13.58,0.002487
06_Splash_en.bmp,HD,BChannel,127.47,127.47,5450.26,5450.34,16.07,0.002948
06_Splash_en.bmp,VD,RChannel,127.63,127.64,5462.91,5462.01,-7.03,-0.001287
06_Splash_en.bmp,VD,GChannel,127.5,127.49,5461.45,5460.16,-2.02,-0.00037
06_Splash_en.bmp,VD,BChannel,127.47,127.46,5449.47,5450.05,-14.55,-0.002669
06_Splash_en.bmp,DD,RChannel,127.64,127.64,5462.96,5462.1,-10.78,-0.001973
06_Splash_en.bmp,DD,GChannel,127.5,127.49,5460.76,5460.15,-3.08,-0.000565
06_Splash_en.bmp,DD,BChannel,127.47,127.47,5449.31,5450.0,-11.88,-0.00218
